timestamp,dt,maneuver_type,cmd_speed,cmd_steering_angle,curr_x,curr_y,curr_yaw,curr_speed,curr_yaw_rate
36.8120,0.0000,WARMUP,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36.9120,0.1000,WARMUP,2.0000,0.0000,-0.0279,0.0000,-0.0000,0.0002,0.0000
37.0120,0.1000,WARMUP,2.0000,0.0000,-0.0261,0.0000,-0.0000,0.0671,0.0000
37.1120,0.1000,WARMUP,2.0000,0.0000,-0.0133,0.0000,-0.0000,0.1852,0.0000
37.2120,0.1000,WARMUP,2.0000,0.0000,0.0113,0.0000,-0.0000,0.2973,0.0000
37.3120,0.1000,WARMUP,2.0000,0.0000,0.0470,0.0000,-0.0000,0.4037,0.0000
37.4120,0.1000,WARMUP,2.0000,0.0000,0.0932,0.0000,-0.0000,0.5046,0.0000
37.5120,0.1000,WARMUP,2.0000,0.0000,0.1495,0.0000,-0.0000,0.6004,0.0000
37.6120,0.1000,WARMUP,2.0000,0.0000,0.2153,0.0000,-0.0000,0.6912,0.0000
37.7120,0.1000,WARMUP,2.0000,0.0000,0.2902,0.0000,-0.0000,0.7773,0.0000
37.8120,0.1000,WARMUP,2.0000,0.0000,0.3736,0.0000,-0.0000,0.8590,0.0000
37.9120,0.1000,WARMUP,2.0000,0.0000,0.4651,0.0000,-0.0000,0.9365,0.0000
38.0120,0.1000,WARMUP,2.0000,0.0000,0.5643,0.0000,-0.0000,1.0099,0.0000
38.1120,0.1000,WARMUP,2.0000,0.0000,0.6345,0.0000,-0.0000,1.0567,0.0000
38.2120,0.1000,WARMUP,2.0000,0.0000,0.7456,0.0000,-0.0000,1.1235,0.0000
38.3120,0.1000,WARMUP,2.0000,0.0000,0.8633,0.0000,-0.0000,1.1864,0.0000
38.4120,0.1000,WARMUP,2.0000,0.0000,0.9873,0.0000,-0.0000,1.2454,0.0000
38.5120,0.1000,WARMUP,2.0000,0.0000,1.1171,0.0000,-0.0000,1.3008,0.0000
38.6120,0.1000,WARMUP,2.0000,0.0000,1.2523,0.0000,-0.0000,1.3529,0.0000
38.7120,0.1000,WARMUP,2.0000,0.0000,1.3927,0.0000,-0.0000,1.4018,0.0000
38.8120,0.1000,WARMUP,2.0000,0.0000,1.5380,0.0000,-0.0000,1.4478,0.0000
38.9120,0.1000,WARMUP,2.0000,0.0000,1.6878,0.0000,-0.0000,1.4910,0.0000
39.0120,0.1000,WARMUP,2.0000,0.0000,1.8419,0.0000,-0.0000,1.5316,0.0000
39.1120,0.1000,WARMUP,2.0000,0.0000,2.0000,-0.0000,-0.0000,1.5698,0.0000
39.2120,0.1000,WARMUP,2.0000,0.0000,2.1618,-0.0000,-0.0000,1.6056,0.0000
39.3120,0.1000,WARMUP,2.0000,0.0000,2.3272,-0.0000,-0.0000,1.6393,0.0000
39.4120,0.1000,WARMUP,2.0000,0.0000,2.4959,-0.0000,-0.0000,1.6709,0.0000
39.5120,0.1000,WARMUP,2.0000,0.0000,2.6678,-0.0000,-0.0000,1.7006,0.0000
39.6120,0.1000,WARMUP,2.0000,0.0000,2.8426,-0.0000,-0.0000,1.7285,0.0000
39.7120,0.1000,WARMUP,2.0000,0.0000,3.0202,-0.0000,-0.0000,1.7548,0.0000
39.8120,0.1000,WARMUP,2.0000,0.0000,3.1400,-0.0000,-0.0000,1.7714,0.0000
39.9120,0.1000,WARMUP,2.0000,0.0000,3.3218,-0.0000,-0.0000,1.7950,0.0000
40.0120,0.1000,WARMUP,2.0000,0.0000,3.5059,-0.0000,-0.0000,1.8172,0.0000
40.1120,0.1000,WARMUP,2.0000,0.0000,3.6922,-0.0000,-0.0000,1.8381,0.0000
40.2120,0.1000,WARMUP,2.0000,0.0000,3.8806,-0.0000,-0.0000,1.8577,0.0000
40.3120,0.1000,WARMUP,2.0000,0.0000,4.0710,-0.0000,-0.0000,1.8761,0.0000
40.4120,0.1000,WARMUP,2.0000,0.0000,4.2631,-0.0000,-0.0000,1.8935,0.0000
40.5120,0.1000,WARMUP,2.0000,0.0000,4.4570,-0.0000,-0.0000,1.9097,0.0000
40.6120,0.1000,WARMUP,2.0000,0.0000,4.6525,-0.0000,-0.0000,1.9250,0.0000
40.7120,0.1000,WARMUP,2.0000,0.0000,4.8495,-0.0000,-0.0000,1.9394,0.0000
40.8120,0.1000,WARMUP,2.0000,0.0000,5.0479,-0.0000,-0.0000,1.9528,0.0000
40.9120,0.1000,WARMUP,2.0000,0.0000,5.2476,-0.0000,-0.0000,1.9655,0.0000
41.0120,0.1000,WARMUP,2.0000,0.0000,5.4486,-0.0000,-0.0000,1.9774,0.0000
41.1120,0.1000,WARMUP,2.0000,0.0000,5.6508,-0.0000,-0.0000,1.9886,0.0000
41.2120,0.1000,WARMUP,2.0000,0.0000,5.8540,-0.0000,-0.0000,1.9991,0.0000
41.3120,0.1000,WARMUP,2.0000,0.0000,6.0584,-0.0000,-0.0000,2.0090,0.0000
41.4120,0.1000,WARMUP,2.0000,0.0000,6.2637,-0.0000,-0.0000,2.0183,0.0000
41.5120,0.1000,WARMUP,2.0000,0.0000,6.4010,-0.0000,-0.0000,2.0242,0.0000
41.6120,0.1000,WARMUP,2.0000,0.0000,6.6078,-0.0000,-0.0000,2.0325,0.0000
41.7120,0.1000,WARMUP,2.0000,0.0000,6.8154,-0.0000,-0.0000,2.0404,0.0000
41.8120,0.1000,CHIRP_LOW_SPEED,2.5000,0.0000,7.0238,-0.0000,-0.0000,2.0478,0.0000
41.9120,0.1000,CHIRP_LOW_SPEED,2.5000,0.0262,7.2334,-0.0000,-0.0000,2.0702,0.0000
42.0120,0.1000,CHIRP_LOW_SPEED,2.5000,0.0546,7.4463,-0.0000,0.0004,2.1059,0.0157
42.1120,0.1000,CHIRP_LOW_SPEED,2.5000,0.0849,7.6627,0.0003,0.0032,2.1390,0.0465
42.2120,0.1000,CHIRP_LOW_SPEED,2.5000,0.1169,7.8823,0.0016,0.0095,2.1691,0.0846
42.3120,0.1000,CHIRP_LOW_SPEED,2.5000,0.1502,8.1049,0.0048,0.0200,2.1963,0.1255
