timestamp,dt,maneuver_type,cmd_speed,cmd_steering_angle,curr_x,curr_y,curr_yaw,curr_speed,curr_yaw_rate
206.4450,0.0000,WARMUP,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206.4650,0.0200,WARMUP,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206.4850,0.0200,WARMUP,2.0000,0.0000,0.9236,-0.0009,-0.0011,0.0026,0.0000
206.5050,0.0200,WARMUP,2.0000,0.0000,0.9239,-0.0009,-0.0011,0.0308,0.0000
206.5250,0.0200,WARMUP,2.0000,0.0000,0.9239,-0.0009,-0.0011,0.0308,0.0000
206.5450,0.0200,WARMUP,2.0000,0.0000,0.9256,-0.0009,-0.0011,0.0714,0.0000
206.5650,0.0200,WARMUP,2.0000,0.0000,0.9256,-0.0009,-0.0011,0.0714,0.0000
206.5850,0.0200,WARMUP,2.0000,0.0000,0.9287,-0.0009,-0.0011,0.1114,0.0000
206.6050,0.0200,WARMUP,2.0000,0.0000,0.9331,-0.0009,-0.0011,0.1506,0.0000
206.6250,0.0200,WARMUP,2.0000,0.0000,0.9331,-0.0009,-0.0011,0.1506,0.0000
206.6450,0.0200,WARMUP,2.0000,0.0000,0.9388,-0.0009,-0.0011,0.1892,0.0000
206.6650,0.0200,WARMUP,2.0000,0.0000,0.9388,-0.0009,-0.0011,0.1892,0.0000
206.6850,0.0200,WARMUP,2.0000,0.0000,0.9459,-0.0010,-0.0011,0.2271,0.0000
206.7050,0.0200,WARMUP,2.0000,0.0000,0.9542,-0.0010,-0.0011,0.2644,0.0000
206.7250,0.0200,WARMUP,2.0000,0.0000,0.9542,-0.0010,-0.0011,0.2644,0.0000
206.7450,0.0200,WARMUP,2.0000,0.0000,0.9638,-0.0010,-0.0011,0.3010,0.0000
206.7650,0.0200,WARMUP,2.0000,0.0000,0.9638,-0.0010,-0.0011,0.3010,0.0000
206.7850,0.0200,WARMUP,2.0000,0.0000,0.9746,-0.0010,-0.0011,0.3370,0.0000
206.8050,0.0200,WARMUP,2.0000,0.0000,0.9746,-0.0010,-0.0011,0.3370,0.0000
206.8250,0.0200,WARMUP,2.0000,0.0000,0.9866,-0.0010,-0.0011,0.3723,0.0000
206.8450,0.0200,WARMUP,2.0000,0.0000,0.9999,-0.0010,-0.0011,0.4071,0.0000
206.8650,0.0200,WARMUP,2.0000,0.0000,0.9999,-0.0010,-0.0011,0.4071,0.0000
206.8850,0.0200,WARMUP,2.0000,0.0000,1.0142,-0.0010,-0.0011,0.4412,0.0000
